route,source_file,status,screenshot_admin,screenshot_user,notes
"/accounting/accounts","apps/web/src/app/accounting/accounts/page.tsx","TODO","","",""
"/accounting/journal-entries/[id]","apps/web/src/app/accounting/journal-entries/[id]/page.tsx","TODO","","",""
"/accounting/journal-entries","apps/web/src/app/accounting/journal-entries/page.tsx","TODO","","",""
"/approvals","apps/web/src/app/approvals/page.tsx","PASS","screenshots/admin/functional-documents-modal.png","screenshots/employee/functional-documents-modal.png","결재 액션 버튼/모달 열기-닫기 검증"
"/attendance/corrections","apps/web/src/app/attendance/corrections/page.tsx","TODO","","",""
"/attendance/ledger","apps/web/src/app/attendance/ledger/page.tsx","PASS","","","사이드바 반복 이동 + 화면 로딩 안정성 검증"
"/attendance/raw","apps/web/src/app/attendance/raw/page.tsx","PASS","","","새로고침 버튼 클릭 액션 검증"
"/attendance/shift-policies","apps/web/src/app/attendance/shift-policies/page.tsx","TODO","","",""
"/collaboration","apps/web/src/app/collaboration/page.tsx","PASS","screenshots/admin/functional-collaboration-guide.png","screenshots/employee/functional-collaboration-guide.png","가이드 검색/연결 모듈 버튼 검증"
"/companies/[id]","apps/web/src/app/companies/[id]/page.tsx","TODO","","",""
"/companies","apps/web/src/app/companies/page.tsx","TODO","","",""
"/departments","apps/web/src/app/departments/page.tsx","TODO","","",""
"/documents","apps/web/src/app/documents/page.tsx","PASS","screenshots/admin/functional-documents-modal.png","screenshots/employee/functional-documents-modal.png","문서 작성 버튼 및 모달/컨텍스트 검증"
"/employees/[id]/edit","apps/web/src/app/employees/[id]/edit/page.tsx","TODO","","",""
"/employees/[id]","apps/web/src/app/employees/[id]/page.tsx","TODO","","",""
"/employees/new","apps/web/src/app/employees/new/page.tsx","TODO","","",""
"/employees","apps/web/src/app/employees/page.tsx","PASS","","","사이드바 반복 이동 안정성 검증"
"/expenses/[id]","apps/web/src/app/expenses/[id]/page.tsx","TODO","","",""
"/expenses","apps/web/src/app/expenses/page.tsx","PASS","","","경비 항목 추가/삭제 버튼 기능 검증"
"/exports","apps/web/src/app/exports/page.tsx","PASS","screenshots/admin/functional-import-export-submit.png","","내보내기 생성 버튼 기능 검증(관리자)"
"/files","apps/web/src/app/files/page.tsx","TODO","","",""
"/imports","apps/web/src/app/imports/page.tsx","PASS","screenshots/admin/functional-import-export-submit.png","","CSV 업로드 + 가져오기 작업 생성 버튼 검증(관리자)"
"/leave","apps/web/src/app/leave/page.tsx","PASS","","","사이드바 반복 이동 안정성 검증"
"/login","apps/web/src/app/login/page.tsx","TODO","","",""
"/","apps/web/src/app/page.tsx","TODO","","",""
"/workspace","apps/web/src/app/workspace/page.tsx","PASS","screenshots/admin/functional-workspace-favorite.png","screenshots/employee/functional-workspace-favorite.png","즐겨찾기 토글 버튼 상태 변경 검증"
